mass,mu_obs,mu_exp,mu_exp_minus2,mu_exp_minus1,mu_exp_plus1,mu_exp_plus2,epsilon_squared_obs,epsilon_squared_exp,epsilon_squared_exp_minus2,epsilon_squared_exp_minus1,epsilon_squared_exp_plus1,epsilon_squared_exp_plus2,factor
0.01,0.2302829928233235,0.23028313853407706,0.10396711145500162,0.16525173928806214,0.36902200861865403,0.5959452418475462,2.370929630844348e-08,2.3709303809429205e-08,1.593073160335326e-08,2.008448736840457e-08,3.001330806756538e-08,3.814089766014413e-08,0.002441043190162317
0.02,0.2326612301199354,0.2326611298582852,0.10591899582674479,0.16619565093903987,0.37187209169397006,0.600652915921541,6.203073876546865e-08,6.203072539988792e-08,4.185350859279579e-08,5.2426971498592244e-08,7.8422690313187e-08,9.966822831566997e-08,0.016538262734217865
0.03,0.23321697185218626,0.2332169678529625,0.10612669330610776,0.1663389596770902,0.37292116923518637,0.6031256965619397,1.3918536685259193e-07,1.391853656592109e-07,9.389140085801243e-08,1.175467139771943e-07,1.7600379047816643e-07,2.238295484417901e-07,0.08306670904795473
0.04,0.23258964896843382,0.23258967841267802,0.1052879658032887,0.16598560720095168,0.3726682899052229,0.6036877388738433,2.5057589978635766e-07,2.5057591564694684e-07,1.6859064586930167e-07,2.116797542574896e-07,3.171796584842221e-07,4.0369213152480985e-07,0.26995303459211184
0.05,0.23364091477321502,0.23364075913852955,0.10566328780613986,0.16625064108033258,0.3747038111422144,0.6103199619642962,4.5032135550157693e-07,4.503212055157872e-07,3.0283784978720427e-07,3.7986541799707586e-07,5.702852632401822e-07,7.278248530121739e-07,0.8679529585715597
0.06,0.23413693095649785,0.2341368184753133,0.10596255355867959,0.16641509220126205,0.3754755586127765,0.6130462604671358,7.882360548850109e-07,7.88235865547653e-07,5.302705930103748e-07,6.645347413419621e-07,9.981876022341866e-07,1.275463277892754e-06,2.6536440692311163
0.07,0.2342336686100324,0.23423372681923116,0.10538003633318262,0.1662430430097236,0.3766469718253128,0.61960993149294,1.479078029864633e-06,1.4790782136467986e-06,9.92077494982815e-07,1.2460577361157062e-06,1.8755716775654285e-06,2.40561216362512e-06,9.339698393532077
0.08,0.23514529583663285,0.23514530676263135,0.10530783409109808,0.1663473220923868,0.37906661119304774,0.6300080697386534,2.4711436380135975e-06,2.471143695424296e-06,1.6537131612359873e-06,2.078441232581594e-06,3.1375279901641932e-06,4.044854450974083e-06,25.96926661011158
0.09,0.23506422952430633,0.23506428151244788,0.10497110657544415,0.16622861228384406,0.3793954496858748,0.6320695910458847,4.4082033831497085e-06,4.408203870621344e-06,2.945799866592323e-06,3.706988511580183e-06,5.600340197040908e-06,7.228543500233747e-06,82.66786106306824
0.1,0.23341331205845606,0.2334132799690824,0.10493618667827667,0.16598787422635533,0.3752826596521921,0.6146860806908292,6.56816499890894e-06,6.568164547417322e-06,4.403965241778753e-06,5.538847718616689e-06,8.328379231679861e-06,1.0658790667325388e-05,184.82575424870498
0.2,0.323269900511131,0.32326989802322825,0.16322199286826125,0.204288474455158,0.5457192265855447,0.9428639843271651,8.092951160097154e-05,8.092951128955259e-05,5.750606127319912e-05,6.433483883680766e-05,0.0001051499116675124,0.000138212972757828,20260.425847306098
0.3,0.7590272002641321,0.7590276382800784,0.34192039684426895,0.48336555507400136,1.3036757882685281,2.3136295864164858,0.0002215028372225697,0.00022150290113448273,0.0001486665037906225,0.00017676182355481855,0.0002902922380948717,0.00038672080618743274,64639.985076390825
0.4,0.8067704500642557,0.8067701980702672,0.3480883213556261,0.4967926443193592,1.463764014556697,2.773479285975933,0.00022836293449731855,0.00022836289883284221,0.00015000141298565693,0.00017920008123565153,0.0003075998765544336,0.0004234119266803468,64639.985076390825
