mass,mu_obs,mu_exp,epsilon_squared_obs,epsilon_squared_exp,factor
0.01,3.4218145974337975,3.4218145974337975,7.1201655618365675e-09,7.1201655618365675e-09,1.4815752339704105e-05
0.02,3.309207177263665,3.309207177263665,1.8617585463462625e-08,1.8617585463462625e-08,0.00010474245640188213
0.03,3.186756043119362,3.186756043119362,4.189359635549948e-08,4.189359635549948e-08,0.0005507398093390175
0.04,3.1586888906041293,3.1586888906041293,7.644734116775738e-08,7.644734116775738e-08,0.0018501967664506951
0.05,3.010442056660976,3.010442056660976,1.3778099016269224e-07,1.3778099016269224e-07,0.006305918165143995
0.06,3.1307669232011444,3.1307669232011444,2.4871345663462795e-07,2.4871345663462795e-07,0.019758220598515855
0.07,3.1233679438320445,3.1233679438320445,4.58250135051186e-07,4.58250135051186e-07,0.06723293254293655
0.08,3.1263980049000497,3.1263980049000497,7.73291069929532e-07,7.73291069929532e-07,0.19126773939067865
0.09,3.149282059596625,3.149282059596625,1.3960084926032375e-06,1.3960084926032375e-06,0.6188203135002714
0.1,3.1612753011232293,3.1612753011232293,2.094117533987725e-06,2.094117533987725e-06,1.3872022612509218
0.2,3.462317426788282,3.462317426788282,2.795135600430744e-05,2.795135600430744e-05,225.65184128835457
0.3,3.7230376112087074,3.7230376112087074,0.0003376899596245733,0.0003376899596245733,30629.427026987225
0.4,4.382143371042469,4.382143371042469,0.08290229321443204,0.08290229321443204,1568362702.5139291
